"GRP","pred_day","coin","SEQ","date","close_up","high_up","low_up"
"Set3","09-21 Day","1INCH",1,"09-21 Day","20%,(Sell,10)","50%,(Wait,26)","27%,(Sell,14)"
"Set3","09-21 Day","1INCH",2,"09-22 Day","31%,(Sell,14)","36%,(Wait,14)","26%,(Sell,12)"
"Set3","09-21 Day","1INCH",3,"09-23 Day","22%,(Wait,8)","26%,(Wait,9)","11%,(Wait,3)"
"Set3","09-21 Day","1INCH",4,"09-24 Day","19%,(Sell,4)","4%,(Wait,1)","43%,(Sell,9)"
"Set3","09-21 Day","1INCH",5,"09-25 Day","27%,(Sell,4)","0%,(Wait,0)","50%,(Sell,8)"
"Set3","09-21 Day","1INCH",6,"09-26 Day","14%,(Wait,4)","4%,(Wait,1)","64%,(Sell,9)"
"Set3","09-21 Day","AAVE",1,"09-21 Day","21%,(Sell,11)","21%,(Sell,10)","40%,(Wait,21)"
"Set3","09-21 Day","AAVE",2,"09-22 Day","11%,(Sell,4)","5%,(Sell,2)","25%,(Sell,10)"
"Set3","09-21 Day","AAVE",3,"09-23 Day","67%,(Wait,24)","45%,(Sell,9)","41%,(Sell,11)"
"Set3","09-21 Day","AAVE",4,"09-24 Day","67%,(Sell,16)","90%,(Sell,19)","45%,(Sell,10)"
"Set3","09-21 Day","AAVE",5,"09-25 Day","25%,(Sell,4)","85%,(Wait,22)","37%,(Sell,7)"
"Set3","09-21 Day","AAVE",6,"09-26 Day","53%,(Sell,10)","50%,(Sell,19)","48%,(Sell,12)"
"Set3","09-21 Day","ADA",1,"09-21 Day","45%,(Wait,22)","40%,(Wait,20)","21%,(Sell,11)"
"Set3","09-21 Day","ADA",2,"09-22 Day","22%,(Sell,9)","15%,(Wait,4)","31%,(Sell,14)"
"Set3","09-21 Day","ADA",3,"09-23 Day","11%,(Sell,2)","0%,(Wait,0)","27%,(Wait,9)"
"Set3","09-21 Day","ADA",4,"09-24 Day","9%,(Wait,2)","0%,(Wait,0)","21%,(Sell,4)"
"Set3","09-21 Day","ADA",5,"09-25 Day","9%,(Sell,1)","21%,(Wait,6)","15%,(Sell,3)"
"Set3","09-21 Day","ADA",6,"09-26 Day","0%,(Sell,0)","0%,(Sell,0)","13%,(Wait,3)"
"Set3","09-21 Day","AERGO",1,"06-30 Day","88%,(Buy,43)","89%,(Buy,39)","80%,(Buy,41)"
"Set3","09-21 Day","AERGO",2,"07-01 Day","87%,(Buy,40)","98%,(Buy,43)","89%,(Buy,33)"
"Set3","09-21 Day","AERGO",3,"07-02 Day","100%,(Buy,39)","100%,(Wait,25)","80%,(Wait,28)"
"Set3","09-21 Day","AERGO",4,"07-03 Day","97%,(Buy,31)","97%,(Wait,28)","97%,(Buy,33)"
"Set3","09-21 Day","AERGO",5,"07-04 Day","81%,(Sell,13)","100%,(Sell,8)","100%,(Wait,26)"
"Set3","09-21 Day","AERGO",6,"07-05 Day","56%,(Sell,9)","100%,(Sell,7)","100%,(Sell,16)"
"Set3","09-21 Day","AHT",1,"09-21 Day","46%,(Wait,24)","61%,(Buy,30)","15%,(Sell,8)"
"Set3","09-21 Day","AHT",2,"09-22 Day","52%,(Sell,13)","79%,(Wait,22)","8%,(Wait,2)"
"Set3","09-21 Day","AHT",3,"09-23 Day","58%,(Sell,15)","37%,(Sell,10)","15%,(Wait,5)"
